ID,IDOC ID,First Name,Last Name,District ID,Assigned Bed ID,Housing Start Date,Housing End Date,Created At,Updated At
15,IDOC-20009,Parolee20009,LargeSeed,3,16,2026-04-02,2026-06-01,2026-04-09 03:14:45.546336+00:00,2026-04-09 03:14:49.194544+00:00
16,IDOC-20010,Parolee20010,LargeSeed,4,17,2026-04-02,2026-06-01,2026-04-09 03:14:45.554827+00:00,2026-04-09 03:14:49.201594+00:00
17,IDOC-20011,Parolee20011,LargeSeed,5,18,2026-04-02,2026-06-01,2026-04-09 03:14:45.563403+00:00,2026-04-09 03:14:49.209080+00:00
18,IDOC-20012,Parolee20012,LargeSeed,6,19,2026-04-02,2026-06-01,2026-04-09 03:14:45.570750+00:00,2026-04-09 03:14:49.216579+00:00
19,IDOC-20013,Parolee20013,LargeSeed,7,20,2026-04-02,2026-06-01,2026-04-09 03:14:45.575405+00:00,2026-04-09 03:14:49.223713+00:00
20,IDOC-20014,Parolee20014,LargeSeed,1,21,2026-04-02,2026-06-01,2026-04-09 03:14:45.580496+00:00,2026-04-09 03:14:49.231505+00:00
21,IDOC-20015,Parolee20015,LargeSeed,2,22,2026-04-02,2026-06-01,2026-04-09 03:14:45.586795+00:00,2026-04-09 03:14:49.238543+00:00
22,IDOC-20016,Parolee20016,LargeSeed,3,23,2026-04-02,2026-06-01,2026-04-09 03:14:45.595721+00:00,2026-04-09 03:14:49.245573+00:00
23,IDOC-20017,Parolee20017,LargeSeed,4,24,2026-04-02,2026-06-01,2026-04-09 03:14:45.605750+00:00,2026-04-09 03:14:49.252956+00:00
24,IDOC-20018,Parolee20018,LargeSeed,5,25,2026-04-02,2026-06-01,2026-04-09 03:14:45.621156+00:00,2026-04-09 03:14:49.260237+00:00
25,IDOC-20019,Parolee20019,LargeSeed,6,26,2026-04-02,2026-06-01,2026-04-09 03:14:45.652958+00:00,2026-04-09 03:14:49.267487+00:00
26,IDOC-20020,Parolee20020,LargeSeed,7,27,2026-04-02,2026-06-01,2026-04-09 03:14:45.670165+00:00,2026-04-09 03:14:49.274260+00:00
27,IDOC-20021,Parolee20021,LargeSeed,1,28,2026-04-02,2026-06-01,2026-04-09 03:14:45.675631+00:00,2026-04-09 03:14:49.279763+00:00
28,IDOC-20022,Parolee20022,LargeSeed,2,29,2026-04-02,2026-06-01,2026-04-09 03:14:45.681506+00:00,2026-04-09 03:14:49.285253+00:00
29,IDOC-20023,Parolee20023,LargeSeed,3,30,2026-04-02,2026-06-01,2026-04-09 03:14:45.694490+00:00,2026-04-09 03:14:49.290519+00:00
30,IDOC-20024,Parolee20024,LargeSeed,4,31,2026-04-02,2026-06-01,2026-04-09 03:14:45.699909+00:00,2026-04-09 03:14:49.295824+00:00
31,IDOC-20025,Parolee20025,LargeSeed,5,32,2026-04-02,2026-06-01,2026-04-09 03:14:45.704974+00:00,2026-04-09 03:14:49.301541+00:00
32,IDOC-20026,Parolee20026,LargeSeed,6,33,2026-04-02,2026-06-01,2026-04-09 03:14:45.720093+00:00,2026-04-09 03:14:49.307194+00:00
33,IDOC-20027,Parolee20027,LargeSeed,7,34,2026-04-02,2026-06-01,2026-04-09 03:14:45.730111+00:00,2026-04-09 03:14:49.312878+00:00
34,IDOC-20028,Parolee20028,LargeSeed,1,35,2026-04-02,2026-06-01,2026-04-09 03:14:45.757334+00:00,2026-04-09 03:14:49.318907+00:00
35,IDOC-20029,Parolee20029,LargeSeed,2,36,2026-04-02,2026-06-01,2026-04-09 03:14:45.762379+00:00,2026-04-09 03:14:49.325388+00:00
36,IDOC-20030,Parolee20030,LargeSeed,3,37,2026-04-02,2026-06-01,2026-04-09 03:14:45.773198+00:00,2026-04-09 03:14:49.331268+00:00
37,IDOC-20031,Parolee20031,LargeSeed,4,38,2026-04-02,2026-06-01,2026-04-09 03:14:45.779433+00:00,2026-04-09 03:14:49.339131+00:00
38,IDOC-20032,Parolee20032,LargeSeed,5,39,2026-04-02,2026-06-01,2026-04-09 03:14:45.790889+00:00,2026-04-09 03:14:49.344766+00:00
39,IDOC-20033,Parolee20033,LargeSeed,6,40,2026-04-02,2026-06-01,2026-04-09 03:14:45.802653+00:00,2026-04-09 03:14:49.350598+00:00
40,IDOC-20034,Parolee20034,LargeSeed,7,41,2026-04-02,2026-06-01,2026-04-09 03:14:45.809146+00:00,2026-04-09 03:14:49.356062+00:00
41,IDOC-20035,Parolee20035,LargeSeed,1,42,2026-04-02,2026-06-01,2026-04-09 03:14:45.816550+00:00,2026-04-09 03:14:49.362326+00:00
43,IDOC-20037,Parolee20037,LargeSeed,3,44,2026-04-02,2026-06-01,2026-04-09 03:14:45.827059+00:00,2026-04-09 03:14:49.374399+00:00
44,IDOC-20038,Parolee20038,LargeSeed,4,45,2026-04-02,2026-06-01,2026-04-09 03:14:45.832151+00:00,2026-04-09 03:14:49.380019+00:00
45,IDOC-20039,Parolee20039,LargeSeed,5,46,2026-04-02,2026-06-01,2026-04-09 03:14:45.837251+00:00,2026-04-09 03:14:49.385563+00:00
46,IDOC-20040,Parolee20040,LargeSeed,6,47,2026-04-02,2026-06-01,2026-04-09 03:14:45.842308+00:00,2026-04-09 03:14:49.391682+00:00
47,IDOC-20041,Parolee20041,LargeSeed,7,48,2026-04-02,2026-06-01,2026-04-09 03:14:45.848274+00:00,2026-04-09 03:14:49.397840+00:00
48,IDOC-20042,Parolee20042,LargeSeed,1,49,2026-04-02,2026-06-01,2026-04-09 03:14:45.859644+00:00,2026-04-09 03:14:49.404041+00:00
49,IDOC-20043,Parolee20043,LargeSeed,2,50,2026-04-02,2026-06-01,2026-04-09 03:14:45.864809+00:00,2026-04-09 03:14:49.410106+00:00
50,IDOC-20044,Parolee20044,LargeSeed,3,51,2026-04-02,2026-06-01,2026-04-09 03:14:45.870981+00:00,2026-04-09 03:14:49.416248+00:00
51,IDOC-20045,Parolee20045,LargeSeed,4,52,2026-04-02,2026-06-01,2026-04-09 03:14:45.876987+00:00,2026-04-09 03:14:49.430199+00:00
52,IDOC-20046,Parolee20046,LargeSeed,5,53,2026-04-02,2026-06-01,2026-04-09 03:14:45.882560+00:00,2026-04-09 03:14:49.444307+00:00
53,IDOC-20047,Parolee20047,LargeSeed,6,54,2026-04-02,2026-06-01,2026-04-09 03:14:45.890030+00:00,2026-04-09 03:14:49.451581+00:00
54,IDOC-20048,Parolee20048,LargeSeed,7,55,2026-04-02,2026-06-01,2026-04-09 03:14:45.895447+00:00,2026-04-09 03:14:49.458175+00:00
55,IDOC-20049,Parolee20049,LargeSeed,1,56,2026-04-02,2026-06-01,2026-04-09 03:14:45.901594+00:00,2026-04-09 03:14:49.472186+00:00
56,IDOC-20050,Parolee20050,LargeSeed,2,57,2026-04-02,2026-06-01,2026-04-09 03:14:45.907460+00:00,2026-04-09 03:14:49.478601+00:00
58,IDOC-20052,Parolee20052,LargeSeed,4,59,2026-04-02,2026-06-01,2026-04-09 03:14:45.919487+00:00,2026-04-09 03:14:49.500562+00:00
59,IDOC-20053,Parolee20053,LargeSeed,5,60,2026-04-02,2026-06-01,2026-04-09 03:14:45.969914+00:00,2026-04-09 03:14:49.507408+00:00
60,IDOC-20054,Parolee20054,LargeSeed,6,61,2026-04-02,2026-06-01,2026-04-09 03:14:46.012253+00:00,2026-04-09 03:14:49.514434+00:00
61,IDOC-20055,Parolee20055,LargeSeed,7,62,2026-04-02,2026-06-01,2026-04-09 03:14:46.019596+00:00,2026-04-09 03:14:49.520899+00:00
62,IDOC-20056,Parolee20056,LargeSeed,1,63,2026-04-02,2026-06-01,2026-04-09 03:14:46.049295+00:00,2026-04-09 03:14:49.527082+00:00
63,IDOC-20057,Parolee20057,LargeSeed,2,64,2026-04-02,2026-06-01,2026-04-09 03:14:46.065976+00:00,2026-04-09 03:14:49.533689+00:00
64,IDOC-20058,Parolee20058,LargeSeed,3,65,2026-04-02,2026-06-01,2026-04-09 03:14:46.089988+00:00,2026-04-09 03:14:49.546813+00:00
65,IDOC-20059,Parolee20059,LargeSeed,4,66,2026-04-02,2026-06-01,2026-04-09 03:14:46.112249+00:00,2026-04-09 03:14:49.553742+00:00
66,IDOC-20060,Parolee20060,LargeSeed,5,67,2026-04-02,2026-06-01,2026-04-09 03:14:46.129999+00:00,2026-04-09 03:14:49.559900+00:00
67,IDOC-20061,Parolee20061,LargeSeed,6,68,2026-04-02,2026-06-01,2026-04-09 03:14:46.170149+00:00,2026-04-09 03:14:49.566008+00:00
68,IDOC-20062,Parolee20062,LargeSeed,7,69,2026-04-02,2026-06-01,2026-04-09 03:14:46.204222+00:00,2026-04-09 03:14:49.573181+00:00
69,IDOC-20063,Parolee20063,LargeSeed,1,70,2026-04-02,2026-06-01,2026-04-09 03:14:46.248592+00:00,2026-04-09 03:14:49.579066+00:00
70,IDOC-20064,Parolee20064,LargeSeed,2,71,2026-04-02,2026-06-01,2026-04-09 03:14:46.297700+00:00,2026-04-09 03:14:49.585168+00:00
71,IDOC-20065,Parolee20065,LargeSeed,3,72,2026-04-02,2026-06-01,2026-04-09 03:14:46.330813+00:00,2026-04-09 03:14:49.592156+00:00
72,IDOC-20066,Parolee20066,LargeSeed,4,73,2026-04-02,2026-06-01,2026-04-09 03:14:46.353810+00:00,2026-04-09 03:14:49.606393+00:00
73,IDOC-20067,Parolee20067,LargeSeed,5,74,2026-04-02,2026-06-01,2026-04-09 03:14:46.371885+00:00,2026-04-09 03:14:49.613063+00:00
74,IDOC-20068,Parolee20068,LargeSeed,6,75,2026-04-02,2026-06-01,2026-04-09 03:14:46.386689+00:00,2026-04-09 03:14:49.619614+00:00
75,IDOC-20069,Parolee20069,LargeSeed,7,76,2026-04-02,2026-06-01,2026-04-09 03:14:46.406063+00:00,2026-04-09 03:14:49.626030+00:00
76,IDOC-20070,Parolee20070,LargeSeed,1,77,2026-04-02,2026-06-01,2026-04-09 03:14:46.426423+00:00,2026-04-09 03:14:49.632031+00:00
77,IDOC-20071,Parolee20071,LargeSeed,2,78,2026-04-02,2026-06-01,2026-04-09 03:14:46.458310+00:00,2026-04-09 03:14:49.637933+00:00
78,IDOC-20072,Parolee20072,LargeSeed,3,79,2026-04-02,2026-06-01,2026-04-09 03:14:46.487852+00:00,2026-04-09 03:14:49.645173+00:00
79,IDOC-20073,Parolee20073,LargeSeed,4,80,2026-04-02,2026-06-01,2026-04-09 03:14:46.508441+00:00,2026-04-09 03:14:49.651643+00:00
81,IDOC-20075,Parolee20075,LargeSeed,6,82,2026-04-02,2026-06-01,2026-04-09 03:14:46.555608+00:00,2026-04-09 03:14:49.665693+00:00
42,IDOC-20036,Parolee20036,LargeSeed,2,43,2026-04-02,2026-06-01,2026-04-09 03:14:45.821792+00:00,2026-04-09 03:14:49.368267+00:00
57,IDOC-20051,Parolee20051,LargeSeed,3,58,2026-04-02,2026-06-01,2026-04-09 03:14:45.913316+00:00,2026-04-09 03:14:49.493556+00:00
80,IDOC-20074,Parolee20074,LargeSeed,5,81,2026-04-02,2026-06-01,2026-04-09 03:14:46.527362+00:00,2026-04-09 03:14:49.657868+00:00
205,IDOC-20199,Parolee20199,LargeSeed,4,,,,2026-04-09 03:14:49.025753+00:00,2026-04-09 03:14:49.025770+00:00
204,IDOC-20198,Parolee20198,LargeSeed,3,,,,2026-04-09 03:14:48.993469+00:00,2026-04-09 03:14:48.993486+00:00
203,IDOC-20197,Parolee20197,LargeSeed,2,,,,2026-04-09 03:14:48.979446+00:00,2026-04-09 03:14:48.979465+00:00
202,IDOC-20196,Parolee20196,LargeSeed,1,,,,2026-04-09 03:14:48.963736+00:00,2026-04-09 03:14:48.963754+00:00
201,IDOC-20195,Parolee20195,LargeSeed,7,,,,2026-04-09 03:14:48.943599+00:00,2026-04-09 03:14:48.943617+00:00
200,IDOC-20194,Parolee20194,LargeSeed,6,,,,2026-04-09 03:14:48.934180+00:00,2026-04-09 03:14:48.934197+00:00
199,IDOC-20193,Parolee20193,LargeSeed,5,,,,2026-04-09 03:14:48.912472+00:00,2026-04-09 03:14:48.912489+00:00
198,IDOC-20192,Parolee20192,LargeSeed,4,,,,2026-04-09 03:14:48.899695+00:00,2026-04-09 03:14:48.899712+00:00
197,IDOC-20191,Parolee20191,LargeSeed,3,,,,2026-04-09 03:14:48.873861+00:00,2026-04-09 03:14:48.873878+00:00
196,IDOC-20190,Parolee20190,LargeSeed,2,,,,2026-04-09 03:14:48.849037+00:00,2026-04-09 03:14:48.849056+00:00
195,IDOC-20189,Parolee20189,LargeSeed,1,,,,2026-04-09 03:14:48.822305+00:00,2026-04-09 03:14:48.822323+00:00
194,IDOC-20188,Parolee20188,LargeSeed,7,,,,2026-04-09 03:14:48.783174+00:00,2026-04-09 03:14:48.783192+00:00
193,IDOC-20187,Parolee20187,LargeSeed,6,,,,2026-04-09 03:14:48.685431+00:00,2026-04-09 03:14:48.685448+00:00
192,IDOC-20186,Parolee20186,LargeSeed,5,,,,2026-04-09 03:14:48.610926+00:00,2026-04-09 03:14:48.610945+00:00
191,IDOC-20185,Parolee20185,LargeSeed,4,,,,2026-04-09 03:14:48.532794+00:00,2026-04-09 03:14:48.532812+00:00
190,IDOC-20184,Parolee20184,LargeSeed,3,,,,2026-04-09 03:14:48.516709+00:00,2026-04-09 03:14:48.516728+00:00
189,IDOC-20183,Parolee20183,LargeSeed,2,,,,2026-04-09 03:14:48.478536+00:00,2026-04-09 03:14:48.478553+00:00
188,IDOC-20182,Parolee20182,LargeSeed,1,,,,2026-04-09 03:14:48.461344+00:00,2026-04-09 03:14:48.461362+00:00
187,IDOC-20181,Parolee20181,LargeSeed,7,,,,2026-04-09 03:14:48.445685+00:00,2026-04-09 03:14:48.445705+00:00
186,IDOC-20180,Parolee20180,LargeSeed,6,,,,2026-04-09 03:14:48.429774+00:00,2026-04-09 03:14:48.429791+00:00
185,IDOC-20179,Parolee20179,LargeSeed,5,,,,2026-04-09 03:14:48.390603+00:00,2026-04-09 03:14:48.390620+00:00
184,IDOC-20178,Parolee20178,LargeSeed,4,,,,2026-04-09 03:14:48.377686+00:00,2026-04-09 03:14:48.377704+00:00
183,IDOC-20177,Parolee20177,LargeSeed,3,,,,2026-04-09 03:14:48.360836+00:00,2026-04-09 03:14:48.360855+00:00
182,IDOC-20176,Parolee20176,LargeSeed,2,,,,2026-04-09 03:14:48.345819+00:00,2026-04-09 03:14:48.345835+00:00
181,IDOC-20175,Parolee20175,LargeSeed,1,,,,2026-04-09 03:14:48.322933+00:00,2026-04-09 03:14:48.322950+00:00
180,IDOC-20174,Parolee20174,LargeSeed,7,,,,2026-04-09 03:14:48.309574+00:00,2026-04-09 03:14:48.309592+00:00
179,IDOC-20173,Parolee20173,LargeSeed,6,,,,2026-04-09 03:14:48.292233+00:00,2026-04-09 03:14:48.292250+00:00
178,IDOC-20172,Parolee20172,LargeSeed,5,,,,2026-04-09 03:14:48.281541+00:00,2026-04-09 03:14:48.281558+00:00
177,IDOC-20171,Parolee20171,LargeSeed,4,,,,2026-04-09 03:14:48.272041+00:00,2026-04-09 03:14:48.272062+00:00
176,IDOC-20170,Parolee20170,LargeSeed,3,,,,2026-04-09 03:14:48.230901+00:00,2026-04-09 03:14:48.230918+00:00
175,IDOC-20169,Parolee20169,LargeSeed,2,,,,2026-04-09 03:14:48.224673+00:00,2026-04-09 03:14:48.224690+00:00
174,IDOC-20168,Parolee20168,LargeSeed,1,,,,2026-04-09 03:14:48.217454+00:00,2026-04-09 03:14:48.217471+00:00
173,IDOC-20167,Parolee20167,LargeSeed,7,,,,2026-04-09 03:14:48.207378+00:00,2026-04-09 03:14:48.207396+00:00
172,IDOC-20166,Parolee20166,LargeSeed,6,,,,2026-04-09 03:14:48.199108+00:00,2026-04-09 03:14:48.199125+00:00
171,IDOC-20165,Parolee20165,LargeSeed,5,,,,2026-04-09 03:14:48.191209+00:00,2026-04-09 03:14:48.191228+00:00
170,IDOC-20164,Parolee20164,LargeSeed,4,,,,2026-04-09 03:14:48.179859+00:00,2026-04-09 03:14:48.179877+00:00
169,IDOC-20163,Parolee20163,LargeSeed,3,,,,2026-04-09 03:14:48.169353+00:00,2026-04-09 03:14:48.169370+00:00
168,IDOC-20162,Parolee20162,LargeSeed,2,,,,2026-04-09 03:14:48.133480+00:00,2026-04-09 03:14:48.133498+00:00
167,IDOC-20161,Parolee20161,LargeSeed,1,,,,2026-04-09 03:14:48.091644+00:00,2026-04-09 03:14:48.091663+00:00
166,IDOC-20160,Parolee20160,LargeSeed,7,,,,2026-04-09 03:14:48.035352+00:00,2026-04-09 03:14:48.035370+00:00
165,IDOC-20159,Parolee20159,LargeSeed,6,,,,2026-04-09 03:14:48.025171+00:00,2026-04-09 03:14:48.025189+00:00
164,IDOC-20158,Parolee20158,LargeSeed,5,,,,2026-04-09 03:14:48.016243+00:00,2026-04-09 03:14:48.016260+00:00
163,IDOC-20157,Parolee20157,LargeSeed,4,,,,2026-04-09 03:14:48.006558+00:00,2026-04-09 03:14:48.006574+00:00
162,IDOC-20156,Parolee20156,LargeSeed,3,,,,2026-04-09 03:14:47.996525+00:00,2026-04-09 03:14:47.996542+00:00
161,IDOC-20155,Parolee20155,LargeSeed,2,,,,2026-04-09 03:14:47.985964+00:00,2026-04-09 03:14:47.985982+00:00
160,IDOC-20154,Parolee20154,LargeSeed,1,,,,2026-04-09 03:14:47.979964+00:00,2026-04-09 03:14:47.979981+00:00
159,IDOC-20153,Parolee20153,LargeSeed,7,,,,2026-04-09 03:14:47.968100+00:00,2026-04-09 03:14:47.968116+00:00
158,IDOC-20152,Parolee20152,LargeSeed,6,,,,2026-04-09 03:14:47.959113+00:00,2026-04-09 03:14:47.959132+00:00
157,IDOC-20151,Parolee20151,LargeSeed,5,,,,2026-04-09 03:14:47.918954+00:00,2026-04-09 03:14:47.918972+00:00
156,IDOC-20150,Parolee20150,LargeSeed,4,,,,2026-04-09 03:14:47.885622+00:00,2026-04-09 03:14:47.885639+00:00
155,IDOC-20149,Parolee20149,LargeSeed,3,,,,2026-04-09 03:14:47.878451+00:00,2026-04-09 03:14:47.878469+00:00
154,IDOC-20148,Parolee20148,LargeSeed,2,,,,2026-04-09 03:14:47.821167+00:00,2026-04-09 03:14:47.821185+00:00
153,IDOC-20147,Parolee20147,LargeSeed,1,,,,2026-04-09 03:14:47.815399+00:00,2026-04-09 03:14:47.815415+00:00
152,IDOC-20146,Parolee20146,LargeSeed,7,,,,2026-04-09 03:14:47.703371+00:00,2026-04-09 03:14:47.703394+00:00
151,IDOC-20145,Parolee20145,LargeSeed,6,,,,2026-04-09 03:14:47.589776+00:00,2026-04-09 03:14:47.589823+00:00
150,IDOC-20144,Parolee20144,LargeSeed,5,,,,2026-04-09 03:14:47.531087+00:00,2026-04-09 03:14:47.531111+00:00
149,IDOC-20143,Parolee20143,LargeSeed,4,,,,2026-04-09 03:14:47.469597+00:00,2026-04-09 03:14:47.469612+00:00
148,IDOC-20142,Parolee20142,LargeSeed,3,,,,2026-04-09 03:14:47.465061+00:00,2026-04-09 03:14:47.465077+00:00
147,IDOC-20141,Parolee20141,LargeSeed,2,,,,2026-04-09 03:14:47.460310+00:00,2026-04-09 03:14:47.460327+00:00
146,IDOC-20140,Parolee20140,LargeSeed,1,,,,2026-04-09 03:14:47.455370+00:00,2026-04-09 03:14:47.455386+00:00
145,IDOC-20139,Parolee20139,LargeSeed,7,,,,2026-04-09 03:14:47.437581+00:00,2026-04-09 03:14:47.437597+00:00
144,IDOC-20138,Parolee20138,LargeSeed,6,,,,2026-04-09 03:14:47.432322+00:00,2026-04-09 03:14:47.432341+00:00
143,IDOC-20137,Parolee20137,LargeSeed,5,,,,2026-04-09 03:14:47.426907+00:00,2026-04-09 03:14:47.426923+00:00
142,IDOC-20136,Parolee20136,LargeSeed,4,,,,2026-04-09 03:14:47.421266+00:00,2026-04-09 03:14:47.421282+00:00
141,IDOC-20135,Parolee20135,LargeSeed,3,,,,2026-04-09 03:14:47.416414+00:00,2026-04-09 03:14:47.416431+00:00
140,IDOC-20134,Parolee20134,LargeSeed,2,,,,2026-04-09 03:14:47.396610+00:00,2026-04-09 03:14:47.396700+00:00
139,IDOC-20133,Parolee20133,LargeSeed,1,,,,2026-04-09 03:14:47.390513+00:00,2026-04-09 03:14:47.390529+00:00
138,IDOC-20132,Parolee20132,LargeSeed,7,,,,2026-04-09 03:14:47.384922+00:00,2026-04-09 03:14:47.384940+00:00
137,IDOC-20131,Parolee20131,LargeSeed,6,,,,2026-04-09 03:14:47.379732+00:00,2026-04-09 03:14:47.379750+00:00
136,IDOC-20130,Parolee20130,LargeSeed,5,,,,2026-04-09 03:14:47.374650+00:00,2026-04-09 03:14:47.374668+00:00
135,IDOC-20129,Parolee20129,LargeSeed,4,,,,2026-04-09 03:14:47.357278+00:00,2026-04-09 03:14:47.357295+00:00
134,IDOC-20128,Parolee20128,LargeSeed,3,,,,2026-04-09 03:14:47.351986+00:00,2026-04-09 03:14:47.352003+00:00
133,IDOC-20127,Parolee20127,LargeSeed,2,,,,2026-04-09 03:14:47.346475+00:00,2026-04-09 03:14:47.346492+00:00
132,IDOC-20126,Parolee20126,LargeSeed,1,,,,2026-04-09 03:14:47.341267+00:00,2026-04-09 03:14:47.341284+00:00
131,IDOC-20125,Parolee20125,LargeSeed,7,,,,2026-04-09 03:14:47.336184+00:00,2026-04-09 03:14:47.336201+00:00
130,IDOC-20124,Parolee20124,LargeSeed,6,,,,2026-04-09 03:14:47.315708+00:00,2026-04-09 03:14:47.315725+00:00
129,IDOC-20123,Parolee20123,LargeSeed,5,,,,2026-04-09 03:14:47.308396+00:00,2026-04-09 03:14:47.308414+00:00
128,IDOC-20122,Parolee20122,LargeSeed,4,,,,2026-04-09 03:14:47.298179+00:00,2026-04-09 03:14:47.298196+00:00
127,IDOC-20121,Parolee20121,LargeSeed,3,,,,2026-04-09 03:14:47.293091+00:00,2026-04-09 03:14:47.293108+00:00
126,IDOC-20120,Parolee20120,LargeSeed,2,,,,2026-04-09 03:14:47.288039+00:00,2026-04-09 03:14:47.288056+00:00
125,IDOC-20119,Parolee20119,LargeSeed,1,,,,2026-04-09 03:14:47.270673+00:00,2026-04-09 03:14:47.270691+00:00
124,IDOC-20118,Parolee20118,LargeSeed,7,,,,2026-04-09 03:14:47.262324+00:00,2026-04-09 03:14:47.262343+00:00
123,IDOC-20117,Parolee20117,LargeSeed,6,,,,2026-04-09 03:14:47.257107+00:00,2026-04-09 03:14:47.257124+00:00
122,IDOC-20116,Parolee20116,LargeSeed,5,,,,2026-04-09 03:14:47.250864+00:00,2026-04-09 03:14:47.250881+00:00
121,IDOC-20115,Parolee20115,LargeSeed,4,,,,2026-04-09 03:14:47.233458+00:00,2026-04-09 03:14:47.233474+00:00
120,IDOC-20114,Parolee20114,LargeSeed,3,,,,2026-04-09 03:14:47.227638+00:00,2026-04-09 03:14:47.227655+00:00
119,IDOC-20113,Parolee20113,LargeSeed,2,,,,2026-04-09 03:14:47.221852+00:00,2026-04-09 03:14:47.221868+00:00
118,IDOC-20112,Parolee20112,LargeSeed,1,,,,2026-04-09 03:14:47.216788+00:00,2026-04-09 03:14:47.216806+00:00
117,IDOC-20111,Parolee20111,LargeSeed,7,,,,2026-04-09 03:14:47.211681+00:00,2026-04-09 03:14:47.211725+00:00
116,IDOC-20110,Parolee20110,LargeSeed,6,,,,2026-04-09 03:14:47.194357+00:00,2026-04-09 03:14:47.194374+00:00
115,IDOC-20109,Parolee20109,LargeSeed,5,,,,2026-04-09 03:14:47.186760+00:00,2026-04-09 03:14:47.186778+00:00
114,IDOC-20108,Parolee20108,LargeSeed,4,,,,2026-04-09 03:14:47.181145+00:00,2026-04-09 03:14:47.181161+00:00
113,IDOC-20107,Parolee20107,LargeSeed,3,,,,2026-04-09 03:14:47.175988+00:00,2026-04-09 03:14:47.176004+00:00
112,IDOC-20106,Parolee20106,LargeSeed,2,,,,2026-04-09 03:14:47.170838+00:00,2026-04-09 03:14:47.170854+00:00
111,IDOC-20105,Parolee20105,LargeSeed,1,,,,2026-04-09 03:14:47.153244+00:00,2026-04-09 03:14:47.153262+00:00
110,IDOC-20104,Parolee20104,LargeSeed,7,,,,2026-04-09 03:14:47.145116+00:00,2026-04-09 03:14:47.145134+00:00
109,IDOC-20103,Parolee20103,LargeSeed,6,,,,2026-04-09 03:14:47.139429+00:00,2026-04-09 03:14:47.139446+00:00
108,IDOC-20102,Parolee20102,LargeSeed,5,,,,2026-04-09 03:14:47.134480+00:00,2026-04-09 03:14:47.134497+00:00
107,IDOC-20101,Parolee20101,LargeSeed,4,,,,2026-04-09 03:14:47.129322+00:00,2026-04-09 03:14:47.129339+00:00
106,IDOC-20100,Parolee20100,LargeSeed,3,,,,2026-04-09 03:14:47.107914+00:00,2026-04-09 03:14:47.108008+00:00
105,IDOC-20099,Parolee20099,LargeSeed,2,,,,2026-04-09 03:14:47.079455+00:00,2026-04-09 03:14:47.079582+00:00
104,IDOC-20098,Parolee20098,LargeSeed,1,,,,2026-04-09 03:14:47.053242+00:00,2026-04-09 03:14:47.053289+00:00
103,IDOC-20097,Parolee20097,LargeSeed,7,,,,2026-04-09 03:14:47.040184+00:00,2026-04-09 03:14:47.040227+00:00
102,IDOC-20096,Parolee20096,LargeSeed,6,,,,2026-04-09 03:14:47.021881+00:00,2026-04-09 03:14:47.021925+00:00
101,IDOC-20095,Parolee20095,LargeSeed,5,,,,2026-04-09 03:14:46.998186+00:00,2026-04-09 03:14:46.998231+00:00
